categoria,tempo_preparo,rendimento,ingredientes
bolos-e-tortas-doces,40MIN,25 porções,2 xicaras de farinha de trigo 2 xicaras de acucar 1 colher de sopa de fermento em po 1 colher de sopa de canela em po 1 pitada de sal 3 ovos 3 macas grandes 1 xicara de oleo vegetal
carnes,90MIN,30 porções,1 colher sopa bem cheia de fermento para pao eu usei fermento granulado instantaneo para pao 2 colheres sopa cheias de acucar refinado 1/2 colher cha de sal 1/2 xicara de leite morno 100 ml 1 xicara de agua morna 200 ml 1 ovo 650 ou 700 g de farinha de trigo 1/2 xicara cha de oleo ou 100 ml 1/2 kg de carne moida magra 3 tomates picadinhos 1 cebola picada 1 dente de alho opcional 1/2 xicara cha de azeitonas picadas 1/2 colher cha de noz moscada opcional salsinha e cebolinha a gosto opcional gotas de molho de pimenta opcional 1 gema gergelim torrado ou preto para salpicar depois que pincelar
aves,30MIN,5 porções,1 lata de creme de leite 1 lata de milho verde 1 copo de requeijao cremoso 100 g de azeitona sem caroco 2 peitos de frango desfiados 200 g de mussarela fatiada 100 g de batata palha 1 xicara de agua 1 pitada de sal
peixes-e-frutos-do-mar,90MIN,6 porções,1 kg de camarao medio 4 colheres sopa de azeite 2 dentes de alho 1 cebola 5 tomates sem sementes sal e pimenta-do-reino a gosto 1 lata de creme de leite sem soro 300 g de requeijao cremoso 1 moranga cheiro-verde a gosto 3 colheres sopa de ketchup
massas,40MIN,10 porções,massa 1 e 1/2 xicara cha de farinha de trigo 1 xicara cha de leite 2 ovos 4 colheres sopa de oleo sal a gosto recheio 300 g de carne moida 2 colheres sopa de cebola picada ou ralada 1/2 tomate cortado em cubos 1/2 lata de extrato de tomate 1 caixa de creme de leite sal a gosto 400 g de mucarela fatiado queijo ralado a gosto
doces-e-sobremesas,10MIN,10 porções,1 lata de leite condensado 1 lata de creme de leite 1/2 xicara de suco de limao esse suco e puro mesmo sem agua e so espremer o limao
bolos-e-tortas-doces,40MIN,10 porções,1 ovo 1 copo americano de leite 1 copo americano de fuba 1 copo americano de acucar 1/2 copo americano de oleo 1 copo americano farinha de trigo 1 colher de fermento em po goiabada em pedacos erva-doce a gosto
carnes,90MIN,6 porções,bife 1 kg de carne para bife 3 dentes de alho sal 1 ovo farinha de rosca oleo molho 1/2 cebola picada 1 lata de molho de tomate 1 colher sobremesa de catchup 1 colher cha de mostarda salsinha e cebolinha a gosto sal a gosto oleo montagem queijo mussarela oregano
aves,40MIN,6 porções,2 colheres sopa de azeite de oliva 2 cebolas medias cortadas em cubos 2 dentes de alho esmagados 500 g de file de frango sem pele e cortado em cubos sal a gosto 1 pimentao verde cortado em cubos 1 pimentao vermelho cortado em cubos 1 pimentao amarelo cortado em cubos 1 xicara cha de cogumelos em conserva cortados ao meio 1/4 xicara de molho shoyu 1 colher sopa de maisena 1/2 xicara cha de agua 2 colheres sopa de amendoim torrado
peixes-e-frutos-do-mar,25MIN,5 porções,1 kg de bacalhau 1 pimentao vermelho picado 1 pimentao verde picado 1 cebola 3 tomates picados maduros nao precisa tirar pele nem semente 2 dentes de alho 1 xicara de azeitona preta sem caroco picada oregano a gosto 1 kg de batatas cozidas e espremidas 2 colheres de sopa de manteiga 1/2 xicara de leite sal a gosto 1 xicara de catupiry 1 lata de creme de leite sem soro 1 vidro de leite de coco de 200 ml
